,index
452,g54b.f_pro_scien_tec_25_34
453,g54b.f_pro_scien_tec_35_44
454,g54b.f_pro_scien_tec_45_54
455,g54b.f_pro_scien_tec_55_64
456,g54b.f_pro_scien_tec_65_74
457,g54b.f_pro_scien_tec_75_84
458,g54b.f_pro_scien_tec_85ov
459,g54b.f_pro_scien_tec_tot
460,g54b.f_admin_supp_15_19
461,g54b.f_admin_supp_20_24
462,g54b.f_admin_supp_25_34
463,g54b.f_admin_supp_35_44
464,g54b.f_admin_supp_45_54
465,g54b.f_admin_supp_55_64
466,g54b.f_admin_supp_65_74
467,g54b.f_admin_supp_75_84
468,g54b.f_admin_supp_85ov
469,g54b.f_admin_supp_tot
470,g54b.f_public_admin_sfty_15_19
471,g54b.f_public_admin_sfty_20_24
472,g54b.f_public_admin_sfty_25_34
473,g54b.f_public_admin_sfty_35_44
474,g54b.f_public_admin_sfty_45_54
475,g54b.f_public_admin_sfty_55_64
476,g54b.f_public_admin_sfty_65_74
477,g54b.f_public_admin_sfty_75_84
478,g54b.f_public_admin_sfty_85ov
479,g54b.f_public_admin_sfty_tot
480,g54b.f_educ_trng_15_19
481,g54b.f_educ_trng_20_24
482,g54b.f_educ_trng_25_34
483,g54b.f_educ_trng_35_44
484,g54b.f_educ_trng_45_54
485,g54b.f_educ_trng_55_64
486,g54b.f_educ_trng_65_74
487,g54b.f_educ_trng_75_84
488,g54b.f_educ_trng_85ov
489,g54b.f_educ_trng_tot
490,g54b.f_hlthcare_socas_15_19
491,g54b.f_hlthcare_socas_20_24
492,g54b.f_hlthcare_socas_25_34
493,g54b.f_hlthcare_socas_35_44
494,g54b.f_hlthcare_socas_45_54
495,g54b.f_hlthcare_socas_55_64
496,g54b.f_hlthcare_socas_65_74
497,g54b.f_hlthcare_socas_75_84
498,g54b.f_hlthcare_socas_85ov
499,g54b.f_hlthcare_socas_tot
500,g54b.f_art_recn_15_19
501,g54b.f_art_recn_20_24
502,g54b.f_art_recn_25_34
503,g54b.f_art_recn_35_44
504,g54b.f_art_recn_45_54
505,g54b.f_art_recn_55_64
506,g54b.f_art_recn_65_74
507,g54b.f_art_recn_75_84
508,g54b.f_art_recn_85ov
509,g54b.f_art_recn_tot
510,g54b.f_oth_scs_15_19
511,g54b.f_oth_scs_20_24
512,g54b.f_oth_scs_25_34
513,g54b.f_oth_scs_35_44
514,g54b.f_oth_scs_45_54
515,g54b.f_oth_scs_55_64
516,g54b.f_oth_scs_65_74
517,g54b.f_oth_scs_75_84
518,g54b.f_oth_scs_85ov
519,g54b.f_oth_scs_tot
520,g59a.negnil_inc_emp_wft
521,g59a.negnil_inc_emp_wpt
522,g59a.negnil_inc_emp_aw
523,g59a.negnil_inc_e_t
524,g59a.negnil_inc_une_lfw_ftw
525,g59a.negnil_inc_une_lfw_ptw
526,g59a.negnil_inc_une_lfw_tot
527,g59a.negnil_inc_t_lf
528,g59a.negnil_inc_notin_lf
529,g59a.negnil_inc_lf_sta_ns
530,g59a.negnil_inc_tot
531,g59a.i_1_149_emp_wft
532,g59a.i_1_149_emp_wpt
533,g59a.i_1_149_emp_aw
534,g59a.i_1_149_e_t
535,g59a.i_1_149_une_lfw_ftw
536,g59a.i_1_149_une_lfw_ptw
537,g59a.i_1_149_une_lfw_tot
538,g59a.i_1_149_t_lf
539,g59a.i_1_149_notin_lf
540,g59a.i_1_149_lf_sta_ns
541,g59a.i_1_149_tot
542,g59a.i_150_299_emp_wft
543,g59a.i_150_299_emp_wpt
544,g59a.i_150_299_emp_aw
545,g59a.i_150_299_e_t
546,g59a.i_150_299_une_lfw_ftw
547,g59a.i_150_299_une_lfw_ptw
548,g59a.i_150_299_une_lfw_tot
549,g59a.i_150_299_t_lf
550,g59a.i_150_299_notin_lf
551,g59a.i_150_299_lf_sta_ns
552,g59a.i_150_299_tot
553,g59a.i_300_399_emp_wft
554,g59a.i_300_399_emp_wpt
555,g59a.i_300_399_emp_aw
556,g59a.i_300_399_e_t
557,g59a.i_300_399_une_lfw_ftw
558,g59a.i_300_399_une_lfw_ptw
559,g59a.i_300_399_une_lfw_tot
560,g59a.i_300_399_t_lf
561,g59a.i_300_399_notin_lf
562,g59a.i_300_399_lf_sta_ns
563,g59a.i_300_399_tot
564,g59a.i_400_499_emp_wft
565,g59a.i_400_499_emp_wpt
566,g59a.i_400_499_emp_aw
567,g59a.i_400_499_e_t
568,g59a.i_400_499_une_lfw_ftw
569,g59a.i_400_499_une_lfw_ptw
570,g59a.i_400_499_une_lfw_tot
571,g59a.i_400_499_t_lf
572,g59a.i_400_499_notin_lf
573,g59a.i_400_499_lf_sta_ns
574,g59a.i_400_499_tot
575,g59a.i_500_649_emp_wft
576,g59a.i_500_649_emp_wpt
577,g59a.i_500_649_emp_aw
578,g59a.i_500_649_e_t
579,g59a.i_500_649_une_lfw_ftw
580,g59a.i_500_649_une_lfw_ptw
581,g59a.i_500_649_une_lfw_tot
582,g59a.i_500_649_t_lf
583,g59a.i_500_649_notin_lf
584,g59a.i_500_649_lf_sta_ns
585,g59a.i_500_649_tot
586,g59a.i_650_799_emp_wft
587,g59a.i_650_799_emp_wpt
588,g59a.i_650_799_emp_aw
589,g59a.i_650_799_e_t
590,g59a.i_650_799_une_lfw_ftw
591,g59a.i_650_799_une_lfw_ptw
592,g59a.i_650_799_une_lfw_tot
593,g59a.i_650_799_t_lf
594,g59a.i_650_799_notin_lf
595,g59a.i_650_799_lf_sta_ns
596,g59a.i_650_799_tot
597,g59a.i_800_999_emp_wft
598,g59a.i_800_999_emp_wpt
599,g59a.i_800_999_emp_aw
600,g59a.i_800_999_e_t
601,g59a.i_800_999_une_lfw_ftw
602,g59a.i_800_999_une_lfw_ptw
603,g59a.i_800_999_une_lfw_tot
604,g59a.i_800_999_t_lf
605,g59a.i_800_999_notin_lf
606,g59a.i_800_999_lf_sta_ns
607,g59a.i_800_999_tot
608,g59a.i_1000_1249_emp_wft
609,g59a.i_1000_1249_emp_wpt
610,g59a.i_1000_1249_emp_aw
611,g59a.i_1000_1249_e_t
612,g59a.i_1000_1249_une_lfw_ftw
613,g59a.i_1000_1249_une_lfw_ptw
614,g59a.i_1000_1249_une_lfw_tot
615,g59a.i_1000_1249_t_lf
616,g59a.i_1000_1249_notin_lf
